# 어절\t어절의 분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
것이다.	것/NNB+이/VCP+다/EF+./SF
것은	것/NNB+은/JX
·	·/SP
같은	같/VA+은/ETM
또	또/MAJ
것을	것/NNB+을/JKO
것으로	것/NNB+으로/JKB
없다.	없/VA+다/EF+./SF
때	때/NNG
없는	없/VA+는/ETM
및	및/MAJ
때문에	때문/NNB+에/JKB
위해	위하/VV+아/EC
것	것/NNB
따라	따르/VV+아/EC
다시	다시/MAG
함께	함께/MAG
큰	크/VA+ㄴ/ETM
이런	이런/MM
가장	가장/MAG
/	//SP
두	두/MM
위한	위하/VV+ㄴ/ETM
아니라	아니/VCN+라/EC
된다.	되/VV+ㄴ다/EF+./SF
우리는	우리/NP+는/JX
때문이다.	때문/NNB+이/VCP+다/EF+./SF
그는	그/NP+는/JX
많은	많/VA+은/ETM
모든	모든/MM
특히	특히/MAG
모두	모두/MAG
어떤	어떤/MM
이러한	이러/XR+하/XSA+ㄴ/ETM
통해	통하/VV+아/EC
어느	어느/MM
바로	바로/MAG
될	되/VV+ㄹ/ETM
또한	또한/MAJ
새로운	새롭/VA+ㄴ/ETM
그의	그/NP+의/JKG
지난	지나/VV+ㄴ/ETM
것도	것/NNB+도/JX
경우	경우/NNG
이번	이번/NNG
여러	여러/MM
더욱	더욱/MAG
물론	물론/MAG
크게	크/VA+게/EC
대해	대하/VV+아/EC
된	되/VV+ㄴ/ETM
어떻게	어떻/VA+게/EC
이미	이미/MAG
같이	같이/MAG
그렇게	그렇/VA+게/EC
되는	되/VV+는/ETM
없었다.	없/VA+었/EP+다/EF+./SF
아니다.	아니/VCN+다/EF+./SF
많이	많이/MAG
몇	몇/MM
없이	없이/MAG
즉	즉/MAJ
동안	동안/NNG
되어	되/VV+어/EC
이렇게	이렇/VA+게/EC
되었다.	되/VV+었/EP+다/EF+./SF
자신의	자신/NNG+의/JKG
우리의	우리/NP+의/JKG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF
이제	이제/MAG
서로	서로/MAG
먼저	먼저/MAG
가운데	가운데/NNG
그것은	그것/NP+은/JX
거의	거의/MAG
중요한	중요/XR+하/XSA+ㄴ/ETM
같다.	같/VA+다/EF+./SF
관한	관하/VV+ㄴ/ETM
그대로	그대로/MAG
때는	때/NNG+는/JX
뒤	뒤/NNG
높은	높/VA+은/ETM
사람은	사람/NNG+은/JX
무슨	무슨/MM
이후	이후/NNG
그녀는	그녀/NP+는/JX
좋은	좋/VA+은/ETM
각	각/MM
왜	왜/MAG
너무	너무/MAG
의해	의하/VV+아/EC
좀	좀/MAG
일본	일본/NNP
따른	따르/VV+ㄴ/ETM
오히려	오히려/MAJ
얼마나	얼마나/MAG
속에	속/NNG+에/JKB
결국	결국/MAG
일이다.	일/NNG+이/VCP+다/EF+./SF
수밖에	수/NNB+밖에/JX
지금	지금/MAG
전에	전/NNG+에/JKB
앞으로	앞/NNG+으로/JKB
만큼	만큼/NNB
▲	▲/SW
이상	이상/NNG
아닌	아니/VCN+ㄴ/ETM
매우	매우/MAG
스스로	스스로/MAG
아주	아주/MAG
속에서	속/NNG+에서/JKB
되고	되/VV+고/EC
알고	알/VV+고/EC
◎	◎/SW
서울	서울/NNP
한국	한국/NNP
비해	비하/VV+아/EC
위해서는	위하/VV+아서/EC+는/JX
문제를	문제/NNG+를/JKO
미국	미국/NNP
아직	아직/MAG
지난해	지난해/NNG
그것을	그것/NP+을/JKO
세계	세계/NNG
중심으로	중심/NNG+으로/JKB
그녀의	그녀/NP+의/JKG
보인다.	보이/VV+ㄴ다/EF+./SF
제대로	제대로/MAG
계속	계속/MAG
각각	각각/MAG
그들의	그/NP+들/XSN+의/JKG
당시	당시/NNG
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF
하나의	하나/NR+의/JKG
미국의	미국/NNP+의/JKG
사람들은	사람/NNG+들/XSN+은/JX
돈을	돈/NNG+을/JKO
=	=/SW
다음	다음/NNG
이같은	이/NP+같/VA+은/ETM
전혀	전혀/MAG
의한	의하/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
이것은	이것/NP+은/JX
나의	나/NP+의/JKG
없을	없/VA+을/ETM
것처럼	것/NNB+처럼/JKB
나라	나라/NNG
정부의	정부/NNG+의/JKG
각종	각종/NNG
사람의	사람/NNG+의/JKG
필요가	필요/NNG+가/JKS
않으면	않/VX+으면/EC
일은	일/NNG+은/JX
작은	작/VA+은/ETM
불구하고	불구/XR+하/XSV+고/EC
정부는	정부/NNG+는/JX
되면	되/VV+면/EC
일본의	일본/NNP+의/JKG
없다는	없/VA+다는/ETM
-	-/SS
가진	가지/VV+ㄴ/ETM
그들은	그/NP+들/XSN+은/JX
꼭	꼭/MAG
처음	처음/NNG
앞에	앞/NNG+에/JKB
모습을	모습/NNG+을/JKO
위에	위/NNG+에/JKB
것이라고	것/NNB+이/VCP+라고/EC
어려운	어렵/VA+ㄴ/ETM
필요한	필요/NNG+하/XSA+ㄴ/ETM
밝혔다.	밝히/VV+었/EP+다/EF+./SF
받은	받/VV+은/ETM
한국의	한국/NNP+의/JKG
어머니는	어머니/NNG+는/JX
반드시	반드시/MAG
받고	받/VV+고/EC
영향을	영향/NNG+을/JKO
집에	집/NNG+에/JKB
위해서	위하/VV+아서/EC
아무리	아무리/MAG
아직도	아직/MAG+도/JX
정도로	정도/NNG+로/JKB
사람을	사람/NNG+을/JKO
대해서는	대하/VV+아서/EC+는/JX
인간의	인간/NNG+의/JKG
일부	일부/NNG
국내	국내/NNG
결코	결코/MAG
다음과	다음/NNG+과/JKB
뿐	뿐/NNB
생각을	생각/NNG+을/JKO
길을	길/NNG+을/JKO
정말	정말/MAG
마치	마치/MAG
아니었다.	아니/VCN+었/EP+다/EF+./SF
이날	이날/NNG
